Műnem;Fogalma;Műfajok
Epika;Történetet mesél el térben és időben kibontakozó eseménysorozaton keresztül. Alapvető jellemzője a cselekményesség, a szereplők jelenléte és az elbeszélő (narrátor) közvetítése. Íródhat prózában és verses formában (epikus költészet) is.;"regény; novella; eposz; mese; monda; mítosz"
Líra;Az egyéni belső világot, a lírai én (beszélő) szubjektív gondolatait, érzelmeit és hangulatait kifejező műnem. Nincs hagyományos cselekménye, többnyire verses formájú, célja egy adott állapot vagy reflexió rögzítése.;"dal; óda; elégia; himnusz; epigramma; szonett"
Dráma;Kifejezetten színpadi előadásra szánt, cselekményes műnem elbeszélő nélkül. A történet és a sorsfordító konfliktus közvetlenül a jelenben, a szereplők tetteiből, párbeszédeiből (dialógus) és magánbeszédeiből (monológ) bontakozik ki.;"tragédia; komédia; drámai költemény; színmű"
